
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : September 5, 2026 9:41:09 PM
   Source : C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\
     Dest : X:\SKYRIM\STOCK GAME\

    Files : *.*
	    
  Options : *.* /TEE /S /E /DCOPY:DA /COPY:DAT /J /NP /MT:8 /R:2 /W:2 

------------------------------------------------------------------------------

	    New File  		  172972	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse019-staffofsheogorath.esl
	    New File  		  14.3 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse020-graycowl.bsa
	    New File  		   70659	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse020-graycowl.esl
	    New File  		  43.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse021-lordsmail.bsa
	    New File  		  113076	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse021-lordsmail.esl
	    New File  		   1.0 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse025-advdsgs.bsa
	    New File  		  812873	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse025-advdsgs.esm
	    New File  		 138.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse031-advcyrus.bsa
	    New File  		  855131	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse031-advcyrus.esm
	    New File  		  73.0 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse034-mntuni.bsa
	    New File  		  146017	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse034-mntuni.esl
	    New File  		  39.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse035-petnhound.bsa
	    New File  		  201862	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse035-petnhound.esl
