"Item","ModId","Name","Installed","As"
"X-2","17127","Winterhold","False",""
"X-3","68793","3D Clover","False",""
"X-3","42032","3D Pine Grass","False",""
"X-3","94791","3D Pine Shrubs","False",""
"X-3","33474","Cathedral 3D Rocky Shores","False",""
"X-3","80687","DrJacopo's 3D Landscapes and Grass Library","False",""
"X-3","94462","Fabled Forests","False",""
"X-3","91285","Grass Sampler Fix","False",""
"X-3","56907","Happy Little Trees Add-On","False",""
"X-3","45952","Mari's flora","False",""
"X-3","60756","Mountain Flowers","False",""
"X-3","35639","No Grassias","False",""
"X-4","110260","Animated Ships","False",""
"X-4","78772","Daedric Shrines AIO","False",""
"X-4","46507","Dwemer Pipework Reworked","False",""
"X-4","20382","Nordic Ruins of Skyrim","False",""
"X-4","17732","Skyrim 3D Rocks","False",""
"X-4","4819","Unique Border Gates","False",""
"X-4","49305","Whiterun Watchtower Doesn't Start Broken","False",""
"X-5","91160","Environs Master Plugin","False",""
"X-5","29882","Lawbringer","False",""
"X-6","51798","Dungeons - Revisited","False",""
"X-6","12186","Hammet's Dungeon Pack","False",""
"X-6","2625","Hidden Hideouts of Skyrim","False",""
"Y-1","32349","Actor Limit Fix","True","Actor Limit Fix"
"Y-1","32117","Assorted mesh fixes","True","Assorted Mesh Fixes"
"Y-1","79473","Auto Parallax","False",""
"Y-1","92454","Dual Casting Fix","True","Dual Casting Fix"
"Y-1","42839","Equip Enchantment Fix","True","Equip Enchantment Fix for 1.6.629 and newer"
"Y-1","42441","Face Discoloration Fix","True","Face Discoloration Fix SE"
"Y-1","148746","Inertia floating gear fix","True","Inertia - Latest Version"
"Y-1","69326","NPC AI Process Position Fix","True","NPC AI Process Position Fix - NG"
"Y-1","43532","Scrambled Bugs","True","Scrambled Bugs - Anniversary Edition (1.6.629.0 and later)"
"Y-1","18975","Unofficial Creation Club Content Patches","True","Unofficial Creation Club Content Patch"
"Y-1","68139","Vanilla Scripting Enhancements","True","Loose Version"
"Y-2","35978","Animated Armoury","True","Animated Armoury - Immersive Weapons Patch"
